author_id,article_id,name,leading_author,first_author,career_stage,expertise_level,author_key
71,2239,Taylor BJ,True,False,Senior PI,Newcomer,taylor bj
52,2517,Anderson KV,True,False,Senior PI,Newcomer,anderson kv
60,2073,Lee WJ,True,False,Junior PI,Experienced,lee wj
41,3069,Reichhart JM,True,False,Senior PI,Experienced,reichhart jm
95,1468,Orr WC,True,False,Junior PI,Newcomer,orr wc
62,3453,Samakovlis C,True,False,Junior PI,Experienced,samakovlis c
85,2315,Hultmark D,True,False,Senior PI,Experienced,hultmark d
66,2031,Kaneko T,False,True,Post-doc,Experienced,kaneko t
24,2905,Lagueux M,True,False,Senior PI,Experienced,lagueux m
20,2451,Lemaitre B,False,False,Senior PI,Experienced,lemaitre b
100,3452,Williams MJ,False,True,Post-doc,Experienced,williams mj
103,2571,Courey AJ,True,False,Senior PI,Newcomer,courey aj
101,3452,Hultmark D,True,False,Senior PI,Experienced,hultmark d
102,2571,Bhaskar V,False,True,PhD,Newcomer,bhaskar v
104,2281,Mansfield BE,False,True,PhD,Newcomer,mansfield be
105,2281,Freitag NE,True,False,Junior PI,Newcomer,freitag ne
106,1914,Tanji T,False,True,Post-doc,Experienced,tanji t
107,1914,Ip YT,True,False,Senior PI,Experienced,ip yt
108,1752,Aggarwal K,False,True,PhD,Experienced,aggarwal k
109,1752,Silverman N,True,False,Senior PI,Experienced,silverman n
110,1728,Bergeret E,False,True,Post-doc,Newcomer,bergeret e
111,1728,Fauvarque MO,True,False,Junior PI,Newcomer,fauvarque mo
112,1495,Tanji T,False,True,Post-doc,Experienced,tanji t
113,1495,Ip YT,True,False,Senior PI,Experienced,ip yt
115,2041,Natori S,True,False,Senior PI,Experienced,natori s
116,2229,Hu X,False,True,PhD,Experienced,hu x
117,2229,Ip YT,True,False,Senior PI,Experienced,ip yt
118,2272,Bettencourt R,False,True,Post-doc,Experienced,bettencourt r
119,2272,Ip YT,True,False,Senior PI,Experienced,ip yt
120,2225,Bettencourt R,False,True,Post-doc,Experienced,bettencourt r
121,2225,Ip YT,True,False,Junior PI,Experienced,ip yt
123,2575,Hetru C,True,False,Senior PI,Experienced,hetru c
124,2070,Garver LS,False,True,PhD,Experienced,garver ls
125,2070,Wu LP,True,False,Junior PI,Experienced,wu lp
128,2541,Tzou P,False,True,PhD,Experienced,tzou p
129,2541,Lemaitre B,True,False,Junior PI,Experienced,lemaitre b
130,1995,Wang L,False,True,PhD,Experienced,wang l
131,1995,Ligoxygakis P,True,False,Junior PI,Experienced,ligoxygakis p
132,3456,Scherfer C,False,True,Post-doc,Experienced,scherfer c
133,3456,Lemaitre B,True,False,Senior PI,Experienced,lemaitre b
134,2742,Rutschmann S,False,True,PhD,Experienced,rutschmann s
135,2742,Ferrandon D,True,False,Junior PI,Experienced,ferrandon d
136,2054,Zaidman-Rémy A,False,True,PhD,Experienced,zaidman-remy a
137,2054,Lemaitre B,True,False,Senior PI,Experienced,lemaitre b
138,2046,Kambris Z,False,True,Post-doc,Experienced,kambris z
139,2046,Lemaitre B,True,False,Senior PI,Experienced,lemaitre b
140,3141,Wicker C,False,True,Post-doc,Experienced,wicker c
141,3141,Hoffmann JA,True,False,Senior PI,Experienced,hoffmann ja
142,2891,Lemaitre B,False,True,Post-doc,Experienced,lemaitre b
143,2891,Hoffmann JA,True,False,Senior PI,Experienced,hoffmann ja
144,2189,Brandt SM,False,True,Post-doc,Experienced,brandt sm
145,2189,Schneider DS,True,False,Senior PI,Experienced,schneider ds
146,1963,Brandt SM,False,True,Post-doc,Experienced,brandt sm
147,1963,Schneider DS,True,False,Junior PI,Experienced,schneider ds
148,1926,Kurucz E,False,True,Post-doc,Experienced,kurucz e
149,1926,Andó I,True,False,Senior PI,Experienced,ando i
150,2100,Tsuda M,False,True,Post-doc,Experienced,tsuda m
151,2100,Aigaki T,True,False,Senior PI,Experienced,aigaki t
152,2443,Takehana A,False,True,PhD,Experienced,takehana a
153,2443,Kurata S,True,False,Junior PI,Experienced,kurata s
154,3078,Samakovlis C,False,True,PhD,Experienced,samakovlis c
155,3078,Hultmark D,True,False,Senior PI,Experienced,hultmark d
156,2196,Bischoff V,False,True,PhD,Newcomer,bischoff v
157,2196,Royet J,True,False,Junior PI,Experienced,royet j
160,2497,Leulier F,False,True,PhD,Experienced,leulier f
161,2497,Lemaitre B,True,False,Junior PI,Experienced,lemaitre b
158,3436,Leulier F,False,True,PhD,Experienced,leulier f
159,3436,Lemaitre B,True,False,Junior PI,Experienced,lemaitre b
162,2253,Pili-Floury S,False,True,PhD,Experienced,pili-floury s
163,2253,Lemaitre B,True,False,Junior PI,Experienced,lemaitre b
164,1703,Defaye A,False,True,PhD,Experienced,defaye a
165,1703,Leulier F,True,False,Junior PI,Experienced,leulier f
166,2340,Leulier F,False,True,PhD,Experienced,leulier f
167,2340,Lemaitre B,True,False,Junior PI,Experienced,lemaitre b
168,2184,Stenbak CR,False,True,Post-doc,Experienced,stenbak cr
170,1987,Leulier F,False,True,Post-doc,Experienced,leulier f
171,1750,Lhocine N,False,True,PhD,Experienced,lhocine n
172,1750,Leulier F,True,False,Junior PI,Experienced,leulier f
173,1987,Meier P,True,False,Junior PI,Newcomer,meier p
174,1589,Geuking P,False,True,PhD,Experienced,geuking p
175,1589,Leulier F,True,False,Junior PI,Experienced,leulier f
176,1649,Ertürk-Hasdemir D,False,True,PhD,Experienced,erturk-hasdemir d
177,1649,Silverman N,True,False,Junior PI,Experienced,silverman n
178,3011,Lemaitre B,False,True,Post-doc,Experienced,lemaitre b
179,3011,Hoffmann JA,True,False,Senior PI,Experienced,hoffmann ja
180,2500,De Gregorio E,False,True,Post-doc,Experienced,de gregorio e
181,2500,Lemaitre B,True,False,Junior PI,Experienced,lemaitre b
182,2590,De Gregorio E,False,True,Post-doc,Experienced,de gregorio e
184,2693,Tzou P,False,True,PhD,Experienced,tzou p
185,2693,Imler JL,True,False,Junior PI,Experienced,imler jl
186,2026,Scherfer C,False,True,Post-doc,Experienced,scherfer c
187,2026,Lemaitre B,True,False,Senior PI,Experienced,lemaitre b
188,2004,Tang H,False,True,PhD,Newcomer,tang h
189,2004,Hashimoto C,True,False,Senior PI,Newcomer,hashimoto c
190,2127,Vodovar N,False,True,PhD,Experienced,vodovar n
191,2127,Lemaitre B,True,False,Senior PI,Experienced,lemaitre b
192,1639,Buchon N,False,True,Post-doc,Experienced,buchon n
193,1639,Lemaitre B,True,False,Senior PI,Experienced,lemaitre b
194,2945,Lemaitre B,False,True,Post-doc,Experienced,lemaitre b
195,2945,Hoffmann JA,True,False,Senior PI,Experienced,hoffmann ja
196,3440,Basset A,False,True,PhD,Experienced,basset a
198,2978,Lemaitre B,False,True,Post-doc,Experienced,lemaitre b
199,2978,Hoffmann JA,True,False,Senior PI,Experienced,hoffmann ja
200,1586,Gendrin M,False,True,PhD,Experienced,gendrin m
201,1586,Lemaitre B,True,False,Senior PI,Experienced,lemaitre b
202,2849,Ferrandon D,False,True,Post-doc,Experienced,ferrandon d
183,2590,Lemaitre B,True,False,Junior PI,Experienced,lemaitre b
114,2041,Tanji T,False,True,PhD,Experienced,tanji t
127,2113,Schneider DS,False,False,Junior PI,Experienced,schneider ds
